room,date,area,event_min,max_min,year,month,day
A,1/1/09 0:00,988,0,1080,2009,January,1
A,1/2/09 0:00,988,0,1080,2009,January,2
A,1/3/09 0:00,988,0,1080,2009,January,3
A,1/4/09 0:00,988,0,1080,2009,January,4
A,1/5/09 0:00,988,0,1080,2009,January,5
A,1/6/09 0:00,988,0,1080,2009,January,6
A,1/7/09 0:00,988,120,1080,2009,January,7
A,1/8/09 0:00,988,0,1080,2009,January,8
A,1/9/09 0:00,988,0,1080,2009,January,9
A,1/10/09 0:00,988,0,1080,2009,January,10
A,1/11/09 0:00,988,0,1080,2009,January,11
A,1/12/09 0:00,988,0,1080,2009,January,12
A,1/13/09 0:00,988,720,1080,2009,January,13
A,1/14/09 0:00,988,899,1080,2009,January,14
A,1/15/09 0:00,988,90,1080,2009,January,15
A,1/16/09 0:00,988,0,1080,2009,January,16
A,1/17/09 0:00,988,0,1080,2009,January,17
A,1/18/09 0:00,988,0,1080,2009,January,18
A,1/19/09 0:00,988,0,1080,2009,January,19
A,1/20/09 0:00,988,240,1080,2009,January,20
A,1/21/09 0:00,988,480,1080,2009,January,21
A,1/22/09 0:00,988,120,1080,2009,January,22
A,1/23/09 0:00,988,0,1080,2009,January,23
A,1/24/09 0:00,988,0,1080,2009,January,24
A,1/25/09 0:00,988,285,1080,2009,January,25
A,1/26/09 0:00,988,900,1080,2009,January,26
A,1/27/09 0:00,988,0,1080,2009,January,27
A,1/28/09 0:00,988,0,1080,2009,January,28
A,1/29/09 0:00,988,180,1080,2009,January,29
A,1/30/09 0:00,988,0,1080,2009,January,30
A,1/31/09 0:00,988,0,1080,2009,January,31
A,2/1/09 0:00,988,0,1080,2009,February,1
A,2/2/09 0:00,988,240,1080,2009,February,2
A,2/3/09 0:00,988,0,1080,2009,February,3
A,2/4/09 0:00,988,0,1080,2009,February,4
A,2/5/09 0:00,988,540,1080,2009,February,5
A,2/6/09 0:00,988,540,1080,2009,February,6
A,2/7/09 0:00,988,600,1080,2009,February,7
A,2/8/09 0:00,988,1019,1080,2009,February,8
A,2/9/09 0:00,988,540,1080,2009,February,9
A,2/10/09 0:00,988,540,1080,2009,February,10
