"","S","R","T"
"1","2","1",1
"2","3","1",1
"3","3","2",1
"4","4","1",1
"5","4","2",1
"6","4","3",1
"7","5","1",1
"8","6","1",1
"9","7","1",1
"10","7","5",1
"11","7","6",1
"12","8","1",1
"13","8","2",1
"14","8","3",1
"15","8","4",1
"16","9","1",1
"17","9","3",1
"18","10","3",1
"19","11","1",1
"20","11","5",1
"21","11","6",1
"22","12","1",1
"23","13","1",1
"24","13","4",1
"25","14","1",1
"26","14","2",1
"27","14","3",1
"28","14","4",1
"29","17","6",1
"30","17","7",1
"31","18","1",1
"32","18","2",1
"33","20","1",1
"34","20","2",1
"35","22","1",1
"36","22","2",1
"37","26","24",1
"38","26","25",1
"39","28","3",1
"40","28","24",1
"41","28","25",1
"42","29","3",1
"43","30","24",1
"44","30","27",1
"45","31","2",1
"46","31","9",1
"47","32","1",1
"48","32","25",1
"49","32","26",1
"50","32","29",1
"51","33","3",1
"52","33","9",1
"53","33","15",1
"54","33","16",1
"55","33","19",1
"56","33","21",1
"57","33","23",1
"58","33","24",1
"59","33","30",1
"60","33","31",1
"61","33","32",1
"62","34","9",1
"63","34","10",1
"64","34","14",1
"65","34","15",1
"66","34","16",1
"67","34","19",1
"68","34","20",1
"69","34","21",1
"70","34","23",1
"71","34","24",1
"72","34","27",1
"73","34","28",1
"74","34","29",1
"75","34","30",1
"76","34","31",1
"77","34","32",1
"78","34","33",1
